rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
1331,2151.01,2151,23389848,23389848.01,1,FP,18h20m28.31s,275.117976,,,+30d51m21.17s,30.85588,,,3.331,0.093,-0.093,0,1,17.336,0.124,-0.124,0,1,2459014.369,0.00208,-0.00208,0,1,15.64643,0.0022,-0.0022,0,1,7.75,0.593,-0.593,0,1,6010,1.17312,-1.17312,0,1,16.1126,0.887288,-0.887288,0,1,323.367,,,,,1181,,,,,10.142,0.006,-0.006,0,1,277.934,3.9955,-3.9955,0,1,5660,128.7,-128.7,0,1,3.86,0.08,-0.08,0,1,1.95,0.1,-0.1,0,1,8/10/2020 17:26,10/3/2020 12:00
1332,2152.01,2152,395393265,395393265,1,PC,01h45m21.35s,26.338972,,,+77d47m24.44s,77.790123,,,27.643,0.04,-0.04,0,1,-11.634,0.048,-0.048,0,1,2458792.556,0.00042,-0.00042,0,1,3.37743,0.00001,-0.00001,0,1,3.622,0.024,-0.024,0,1,8790,0.097309,-0.097309,0,1,16.728,0.749241,-0.749241,0,1,1389.74,,,,,1700,,,,,10.7053,0.006,-0.006,0,1,303.006,3.0795,-3.0795,0,1,6688,148.6,-148.6,0,1,4.11,0.09,-0.09,0,1,1.73,0.08,-0.08,0,1,8/10/2020 17:26,11/17/2020 12:00
1333,2153.01,2153,406855039,406855039,1,PC,18h19m28.92s,274.87052,,,+71d14m55.05s,71.248626,,,-2.157,0.047,-0.047,0,1,18.334,0.071,-0.071,0,1,2458685.339,0.00677,-0.00677,0,1,2.7178,0.0001,-0.0001,0,1,5.915,0.693,-0.693,0,1,200,0.220708,-0.220708,0,1,2.99357,0.189225,-0.189225,0,1,4147.1,,,,,2235,,,,,9.54581,0.006,-0.006,0,1,238.675,1.6105,-1.6105,0,1,5668,127.1,-127.1,0,1,3.76,0.08,-0.08,0,1,2.18,0.11,-0.11,0,1,8/10/2020 17:26,8/10/2020 12:00
1334,2154.01,2154,428787891,428787891,1,PC,04h44m06.76s,71.028148,,,+84d21m51.35s,84.364265,,,-10.783,0.036,-0.036,0,1,15.218,0.043,-0.043,0,1,2458819.731,0.00027,-0.00027,0,1,3.82407,0.00001,-0.00001,0,1,2.397,0.12,-0.12,0,1,10960,2.91422,-2.91422,0,1,16.1024,0.786978,-0.786978,0,1,843.054,,,,,1501,,,,,10.6611,0.009,-0.009,0,1,296.46,2.1585,-2.1585,0,1,6243,133.5,-133.5,0,1,4.24,0.08,-0.08,0,1,1.39,0.06,-0.06,0,1,8/10/2020 17:26,12/7/2020 12:01
1335,2155.01,2155,461591646,461591646,1,PC,00h23m12.06s,5.800269,,,+84d27m10.22s,84.452839,,,22.255,0.04,-0.04,0,1,-1.251,0.042,-0.042,0,1,2458792.851,0.00075,-0.00075,0,1,3.72466,0.00002,-0.00002,0,1,3.185,0.113,-0.113,0,1,3670,0.430215,-0.430215,0,1,10.8811,0.506214,-0.506214,0,1,686.503,,,,,1426,,,,,10.9939,0.01,-0.01,0,1,416.077,3.8915,-3.8915,0,1,6144,131.6,-131.6,0,1,4.02,0.08,-0.08,0,1,1.74,0.08,-0.08,0,1,8/10/2020 17:26,11/17/2020 12:00
1336,2156.01,2156,258402425,258402425,1,PC,18h17m40s,274.416666,,,+23d55m03.64s,23.917679,,,15.464,0.029,-0.029,0,1,-17.322,0.046,-0.046,0,1,2459011.05,0.00358,-0.00358,0,1,0.67554,0.00016,-0.00016,0,1,0.922,0.174,-0.174,0,1,680,468.16,-468.16,0,1,15.6973,,,0,1,7493.17,,,,,2591,,,,,9.87437,0.006,-0.006,0,1,253.011,1.8815,-1.8815,0,1,4872,122,-122,0,1,,,,0,1,2.74,,,0,1,8/10/2020 17:26,1/12/2021 10:00
1337,2157.01,2157,298495970,298495970,1,APC,17h26m52.25s,261.71771,,,+25d50m57.37s,25.84927,,,-45.633,0.042,-0.042,0,1,-11.332,0.042,-0.042,0,1,2458989.02,0.00077,-0.00077,0,1,8.42426,0.00027,-0.00027,0,1,2.424,0.122,-0.122,0,1,21700,41.3932,-41.3932,0,1,15.4731,1.01631,-1.01631,0,1,108.247,,,,,898,,,,,10.7033,0.006,-0.006,0,1,178.43,0.9455,-0.9455,0,1,5756,125.4,-125.4,0,1,4.51,0.08,-0.08,0,1,0.93,0.05,-0.05,0,1,8/10/2020 17:26,9/18/2020 12:02
1338,2158.01,2158,342642208,342642208,1,PC,18h27m14.41s,276.810053,,,+20d31m36.79s,20.526887,,,-43.997,0.044,-0.044,0,1,7.891,0.074,-0.074,0,1,2459018.92,0.0016,-0.0016,0,1,8.60072,0.00183,-0.00183,0,1,3.625,0.588,-0.588,0,1,5030,6.89545,-6.89545,0,1,11.4667,0.747626,-0.747626,0,1,196.102,,,,,1042,,,,,10.1669,0.006,-0.006,0,1,198.473,1.393,-1.393,0,1,5389,122.6,-122.6,0,1,4.06,0.08,-0.08,0,1,1.5,0.08,-0.08,0,1,8/10/2020 17:26,8/10/2020 12:00
1339,2159.01,2159,270515566,270515566,1,APC,17h37m48.97s,264.45404,,,+47d13m49.04s,47.230289,,,-11.138,0.043,-0.043,0,1,9.721,0.043,-0.043,0,1,2458992.025,0.00111,-0.00111,0,1,10.05136,0.00056,-0.00056,0,1,6.326,0.11,-0.11,0,1,10500,0.838835,-0.838835,0,1,14.249,0.677854,-0.677854,0,1,280.812,,,,,1140,,,,,10.8595,0.007,-0.007,0,1,294.398,1.8245,-1.8245,0,1,5844,126.4,-126.4,0,1,4.16,0.08,-0.08,0,1,1.41,0.07,-0.07,0,1,8/10/2020 17:26,11/30/2020 3:13
1340,216.01,216,55652896,55652896.01,1,CP,04h55m55.2s,73.980013,,,-63d15m37.19s,-63.26033,,,-22.699,0.045,-0.045,0,1,-56.352,0.054,-0.054,0,1,2458331.265,0.000509,-0.000509,0,1,34.55397,0.00011,-0.00011,0,1,5.849,0.308,-0.308,0,1,12593,6.03624,-6.03624,0,1,9.63002,0.663221,-0.663221,0,1,17.3262,,,,,568,,,,,11.5748,0.006,-0.006,0,1,177.945,0.879,-0.879,0,1,5025.77,125,-125,0,1,4.66348,0.2,-0.2,0,1,0.8,0.05,-0.05,0,1,10/22/2018 18:34,11/20/2020 10:00
